time,open,high,low,close,volume,open_interest,amount
2024-02-21 21:01:00,69220.0,69290.0,69220.0,69280.0,202096,140012.0,830069000.0
2024-02-21 21:02:00,69270.0,69270.0,69240.0,69250.0,331885,140154.0,1054110000.0
2024-02-21 21:03:00,69240.0,69270.0,69230.0,69260.0,404206,140468.0,1287140000.0
2024-02-21 21:04:00,69250.0,69260.0,69230.0,69250.0,471393,140535.0,1444670000.0
2024-02-21 21:05:00,69250.0,69260.0,69240.0,69250.0,480757,140548.0,1535740000.0
2024-02-21 21:06:00,69250.0,69270.0,69250.0,69250.0,514445,140628.0,1635130000.0
2024-02-21 21:07:00,69250.0,69260.0,69240.0,69240.0,510903,140586.0,1715100000.0
2024-02-21 21:08:00,69240.0,69260.0,69230.0,69240.0,497611,140653.0,1764270000.0
2024-02-21 21:09:00,69240.0,69250.0,69220.0,69220.0,495905,140652.0,1812390000.0
2024-02-21 21:10:00,69220.0,69250.0,69220.0,69250.0,462491,140685.0,1859120000.0
2024-02-21 21:11:00,69250.0,69260.0,69240.0,69260.0,544759,140788.0,1930100000.0
2024-02-21 21:12:00,69260.0,69300.0,69250.0,69290.0,668688,141049.0,2178830000.0
2024-02-21 21:13:00,69300.0,69310.0,69290.0,69310.0,736907,141036.0,2297690000.0
2024-02-21 21:14:00,69300.0,69310.0,69290.0,69300.0,728878,141069.0,2364570000.0
2024-02-21 21:15:00,69300.0,69310.0,69290.0,69300.0,681268,141074.0,2398530000.0
2024-02-21 21:16:00,69300.0,69310.0,69290.0,69300.0,755038,141129.0,2471640000.0
2024-02-21 21:17:00,69300.0,69300.0,69280.0,69300.0,685314,141130.0,2508710000.0
2024-02-21 21:18:00,69300.0,69300.0,69290.0,69300.0,638174,141146.0,2579740000.0
2024-02-21 21:19:00,69300.0,69310.0,69290.0,69310.0,636653,141175.0,2658740000.0
2024-02-21 21:20:00,69310.0,69320.0,69300.0,69300.0,760523,141171.0,2744690000.0
2024-02-21 21:21:00,69310.0,69320.0,69300.0,69310.0,737087,141244.0,2795290000.0
2024-02-21 21:22:00,69310.0,69350.0,69310.0,69350.0,950985,141397.0,3009200000.0
2024-02-21 21:23:00,69350.0,69360.0,69340.0,69350.0,981736,141516.0,3113230000.0
2024-02-21 21:24:00,69350.0,69370.0,69350.0,69350.0,1009514,141699.0,3216570000.0
2024-02-21 21:25:00,69350.0,69360.0,69340.0,69350.0,709271,141759.0,3264770000.0
2024-02-21 21:26:00,69350.0,69360.0,69340.0,69350.0,806233,141833.0,3310540000.0
2024-02-21 21:27:00,69350.0,69360.0,69340.0,69350.0,828880,141924.0,3366370000.0
2024-02-21 21:28:00,69350.0,69360.0,69340.0,69350.0,635053,141948.0,3395840000.0
2024-02-21 21:29:00,69360.0,69360.0,69350.0,69350.0,788955,141978.0,3431210000.0
2024-02-21 21:30:00,69350.0,69360.0,69350.0,69350.0,485767,141988.0,3438500000.0
2024-02-21 21:31:00,69350.0,69390.0,69350.0,69390.0,1067983,142056.0,3571000000.0
2024-02-21 21:32:00,69380.0,69400.0,69380.0,69400.0,1040455,142081.0,3686530000.0
2024-02-21 21:33:00,69400.0,69400.0,69390.0,69390.0,1006863,142133.0,3737540000.0
2024-02-21 21:34:00,69390.0,69390.0,69380.0,69380.0,901344,142151.0,3779870000.0
2024-02-21 21:35:00,69380.0,69380.0,69340.0,69350.0,1013003,142085.0,3854080000.0
2024-02-21 21:36:00,69350.0,69370.0,69340.0,69360.0,972954,142073.0,3896040000.0
2024-02-21 21:37:00,69360.0,69360.0,69330.0,69340.0,1009670,142021.0,3954640000.0
2024-02-21 21:38:00,69340.0,69350.0,69330.0,69340.0,931078,142036.0,4017390000.0
2024-02-21 21:39:00,69340.0,69360.0,69340.0,69360.0,879362,142042.0,4079460000.0
2024-02-21 21:40:00,69360.0,69360.0,69350.0,69350.0,960297,142060.0,4115530000.0
2024-02-21 21:41:00,69350.0,69380.0,69350.0,69370.0,846893,142032.0,4149860000.0
2024-02-21 21:42:00,69370.0,69370.0,69340.0,69350.0,840348,142018.0,4165810000.0
2024-02-21 21:43:00,69350.0,69360.0,69340.0,69350.0,857392,142051.0,4194250000.0
2024-02-21 21:44:00,69350.0,69370.0,69350.0,69360.0,838302,142121.0,4239680000.0
2024-02-21 21:45:00,69360.0,69360.0,69340.0,69340.0,735648,142119.0,4251820000.0
2024-02-21 21:46:00,69340.0,69360.0,69340.0,69350.0,761981,142119.0,4269850000.0
2024-02-21 21:47:00,69350.0,69360.0,69350.0,69350.0,864985,142153.0,4288230000.0
2024-02-21 21:48:00,69350.0,69350.0,69310.0,69310.0,948918,142139.0,4349240000.0
2024-02-21 21:49:00,69320.0,69320.0,69290.0,69310.0,1192992,142160.0,4435180000.0
2024-02-21 21:50:00,69310.0,69320.0,69300.0,69310.0,1066325,142188.0,4466360000.0
2024-02-21 21:51:00,69310.0,69330.0,69310.0,69320.0,994617,142184.0,4490280000.0
2024-02-21 21:52:00,69320.0,69320.0,69310.0,69310.0,908504,142184.0,4499990000.0
2024-02-21 21:53:00,69320.0,69330.0,69310.0,69320.0,859383,142155.0,4522510000.0
2024-02-21 21:54:00,69320.0,69330.0,69310.0,69320.0,707309,142213.0,4553360000.0
2024-02-21 21:55:00,69320.0,69330.0,69310.0,69310.0,923493,142342.0,4611240000.0
2024-02-21 21:56:00,69310.0,69330.0,69310.0,69330.0,868604,142411.0,4643820000.0
2024-02-21 21:57:00,69330.0,69340.0,69320.0,69330.0,917080,142460.0,4694780000.0
2024-02-21 21:58:00,69330.0,69330.0,69310.0,69330.0,1182616,142518.0,4722860000.0
2024-02-21 21:59:00,69330.0,69340.0,69330.0,69330.0,805215,142523.0,4734300000.0
2024-02-21 22:00:00,69330.0,69340.0,69320.0,69330.0,848590,142542.0,4749200000.0
2024-02-21 22:01:00,69330.0,69360.0,69330.0,69360.0,1243221,142612.0,4806760000.0
2024-02-21 22:02:00,69340.0,69380.0,69340.0,69380.0,1169880,142625.0,4846640000.0
2024-02-21 22:03:00,69380.0,69380.0,69360.0,69360.0,1010582,142654.0,4874740000.0
2024-02-21 22:04:00,69360.0,69380.0,69360.0,69370.0,1156648,142701.0,4907340000.0
2024-02-21 22:05:00,69370.0,69380.0,69360.0,69370.0,1192620,142719.0,4923990000.0
2024-02-21 22:06:00,69380.0,69400.0,69370.0,69380.0,1289312,142798.0,4980540000.0
2024-02-21 22:07:00,69380.0,69400.0,69380.0,69390.0,1122416,142814.0,4991990000.0
2024-02-21 22:08:00,69390.0,69400.0,69380.0,69380.0,937889,142811.0,5009340000.0
2024-02-21 22:09:00,69380.0,69400.0,69380.0,69400.0,1396755,142781.0,5064160000.0
2024-02-21 22:10:00,69390.0,69430.0,69390.0,69420.0,1507490,142860.0,5158210000.0
2024-02-21 22:11:00,69420.0,69430.0,69410.0,69420.0,1376087,142903.0,5201250000.0
2024-02-21 22:12:00,69420.0,69450.0,69410.0,69440.0,1668688,143079.0,5332140000.0
2024-02-21 22:13:00,69440.0,69460.0,69440.0,69450.0,1541932,143222.0,5417220000.0
2024-02-21 22:14:00,69450.0,69460.0,69440.0,69460.0,1426875,143257.0,5446040000.0
2024-02-21 22:15:00,69460.0,69460.0,69450.0,69450.0,1324380,143307.0,5484940000.0
2024-02-21 22:16:00,69450.0,69460.0,69440.0,69440.0,1220727,143325.0,5501950000.0
2024-02-21 22:17:00,69440.0,69440.0,69420.0,69430.0,1532438,143304.0,5564090000.0
2024-02-21 22:18:00,69430.0,69430.0,69420.0,69420.0,1044840,143309.0,5574160000.0
2024-02-21 22:19:00,69420.0,69420.0,69400.0,69410.0,1227051,143297.0,5605040000.0
2024-02-21 22:20:00,69410.0,69410.0,69410.0,69410.0,1003352,143286.0,5613370000.0
2024-02-21 22:21:00,69420.0,69420.0,69410.0,69410.0,1004983,143298.0,5622750000.0
2024-02-21 22:22:00,69410.0,69440.0,69410.0,69440.0,1171222,143304.0,5652250000.0
2024-02-21 22:23:00,69440.0,69440.0,69420.0,69430.0,1077711,143299.0,5662320000.0
2024-02-21 22:24:00,69430.0,69430.0,69420.0,69430.0,898839,143302.0,5667530000.0
2024-02-21 22:25:00,69430.0,69430.0,69410.0,69410.0,818689,143322.0,5683840000.0
2024-02-21 22:26:00,69410.0,69420.0,69400.0,69400.0,1020875,143355.0,5724800000.0
2024-02-21 22:27:00,69400.0,69420.0,69400.0,69420.0,1176149,143374.0,5756380000.0
2024-02-21 22:28:00,69420.0,69420.0,69400.0,69400.0,980590,143387.0,5765400000.0
2024-02-21 22:29:00,69400.0,69410.0,69400.0,69410.0,1084318,143411.0,5796630000.0
2024-02-21 22:30:00,69410.0,69430.0,69410.0,69420.0,888694,143452.0,5819890000.0
2024-02-21 22:31:00,69420.0,69430.0,69410.0,69420.0,1378740,143436.0,5838280000.0
2024-02-21 22:32:00,69420.0,69430.0,69410.0,69430.0,1199115,143440.0,5867790000.0
2024-02-21 22:33:00,69430.0,69450.0,69430.0,69450.0,1035602,143439.0,5892440000.0
2024-02-21 22:34:00,69450.0,69450.0,69430.0,69430.0,1243553,143442.0,5918480000.0
